Customer Name,Street Address,Unit,City,State,ZIP,Latitude,Longitude
The Banks Fish House,406 Stuart St.,,Boston,MA,02116,42.3488696,-71.0740539
Hook + Line,10 Fan Pier Blvd,,Boston,MA,02210,42.3537964,-71.0448931
Hot Chix Boston,1220 Cambridge Street,,Cambridge,MA,02143,42.3732483,-71.0978747
Hotel AKA Back Bay,154 Berkeley St.,,Boston,MA,02116,42.3491758,-71.072462
Hyatt Regency Boston,1 Avenue de Lafayette,,Boston,MA,02111,42.3534041,-71.0607712
IKM Foods Slough Dough Pizza Co Ian & Jess Maschal,25 Cross St,,West Bridgewater,MA,02379,42.0105196,-71.0122473
Il Casale,50 Leonard St,,Belmont,MA,02478,42.3974855,-71.1758093
Intershell International Corp.,9 Blackburn Drive,,Gloucester,MA,01930,42.6262222,-70.6547855
Ionnis Vlachos,70 Centre St.,,Brookline,MA,12345,42.3430102,-71.1256639
Cafe Iterum,11 Father Jacobbe Rd,,East Boston,MA,01251,42.436739,-71.043988
Birds of Paradise Cocktails,525 Western Avenue,#12,Brighton,MA,02135,42.3616526,-71.1462537
Ivory Pearl,1704 Beacon St,,Brookline,MA,02445,42.3387713,-71.1389712
James Hook & Co,440 Atlantic Ave,,Boston,MA,02110,42.3549526,-71.0509188
Jean Bonaventure,595 Revere Beach Parkway,,Revere,MA,02151,42.4048942,-71.0072079
Little Donkey,505 Massachusetts Ave,,Cambridge,MA,02139,42.3643284,-71.101556
Coppa,253 Shawmut Ave,,Boston,MA,02118,42.3434587,-71.068688
Little Donkey,505 Massachusetts Ave,,Cambridge,MA,02139,42.3643284,-71.101556
Toro,1704 Washington St.,,Boston,MA,02118,42.3369711,-71.0759287
John Nagle Co.,306 Northern Ave,,Boston,MA,02210,42.3471071,-71.0341176
Jordan Brothers,50 Meadowbrook Rd,,Brockton,MA,02303,42.0554702,-71.0084691
JP Fuji Group,696 Hancock St.,,Quincy,MA,02169,42.2497781,-71.0025854
Fuji at Assembly,320 Canal Street,,Somerville,MA,02145,42.3942061,-71.0800147
Fuji at HSP,100 High Street,,Boston,MA,02110,42.3544401,-71.0556228
Fuji at Kendall,148 First St,,Cambridge,MA,02141,42.3685909,-71.0774026
Fuji Newton,239 Walnut Street,,Newton,MA,02460,42.3520775,-71.2078213
Fuji Woc,1420 Hancock St.,,Quincy,MA,02169,42.2492387,-71.002249
june bug,251 Washington St.,,Somerville,MA,02143,42.3796146,-71.0964386
Kaia,380 Harrison Ave,,Boston,MA,02284,42.3463979,-71.0632362
Kapa Foods,2 Summer St,PO Box 916 ,Webster,MA,01570,42.0440428,-71.8770779
Gigi's,431 Columbus Avenue,,Boston,MA,02199,42.3440703,-71.0777948
Ilona,783 Tremont St.,,Boston,MA,02199,42.339236,-71.0808834
Kava,315 Shawmut Ave,,Boston,MA,02118,42.3423765,-71.0704578
Kosmos Restaurant,944 Main Street,,Walpole,MA,02081,42.146662,-71.2522028
Krasi,48 Gloucester,,Boston,MA,02115,42.348686,-71.0840755
